key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
YY_WATER_FEATURES.amount-down-arrow	Wasserfluss/Tiefe/Höhe verringern	Reduce Flow/Depth/Elevation	Reducir flujo/profundidad/elevación	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	
YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow	Reduziert den Wasserfluss für Bäche. Verringert die Tiefe oder Höhe von Flüssen, Meeren und Seen. Reduziert die maximale Tiefe für Regenrückhaltebecken und Hochwasserrückhaltebecken.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduce el flujo de corrientes. Reduce la profundidad o elevación de ríos, mares y lagos. Reduce la profundidad máxima para la retención y las cuencas de detención.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	
YY_WATER_FEATURES.amount-up-arrow	Wasserfluss/Tiefe/Höhe erhöhen	Increase Flow/Depth/Elevation	Incrementar flujo/profundidad/elevación	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	
YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow	Erhöht den Wasserfluss für Bäche. Vergrößert die Tiefe oder Höhe von Flüssen, Meeren und Seen. Erhöht die maximale Tiefe für Regenrückhaltebecken und Hochwasserrückhaltebecken.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Aumenta el flujo de corrientes. Aumenta la profundidad o elevación de ríos, mares y lagos. Aumenta la profundidad máxima para la retención y las cuencas de detención.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	
YY_WATER_FEATURES.radius-down-arrow	Radius reduzieren	Reduce Radius	Reducir radio	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	
YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow	Reduziert den Radius.	Reduces the radius.	Reduce el radio.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	
YY_WATER_FEATURES.radius-up-arrow	Radius vergrößern	Increase Radius	Incrementar radio	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Increase Radius	
YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow	Erhöht den Radius.	Increases the radius..	Aumenta el radio..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	Increases the radius..	
YY_WATER_FEATURES.min-depth-down-arrow	Min. Tiefe verringern	Reduce Min Depth	Reduce la profundidad mínima	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	
YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow	Verringert die minimale Tiefe.	Reduces the minimum depth.	Reduce la profundidad mínima.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	
YY_WATER_FEATURES.min-depth-up-arrow	Min. Tiefe erhöhen	Increase Min Depth	Aumenta la profundidad mínima	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	
YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow	Erhöht die minimale Tiefe.	Increases the minimum depth.	Aumenta la profundidad mínima.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	
YY_WATER_FEATURES.amount-rate-of-change	Fließ/Tiefe/Höhe Rate der Veränderung	Flow/Depth/Elevation Rate of Change	Tasa de cambio de Flujo/Profundidad/Elevación	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für Durchflussrate, Tiefe und Höhe arbeiten.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Cambia la velocidad en la que funcionan los botones de aumento y disminución para Fluidez, Profundidad y Elevación.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	
YY_WATER_FEATURES.radius-rate-of-change	Radiusrate der Änderung	Radius Rate of Change	Tasa de cambio del radio	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für den Radius arbeiten.	Changes the rate in which the increase and decrease buttons work for Radius.	Cambia la velocidad en la que funcionan los botones de aumento y disminución para el Radio.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	
YY_WATER_FEATURES.min-depth-rate-of-change	Mindesttiefe Veränderungsrate	Minimum Depth Rate of Change	Tasa Mínima de Profundidad	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für die Mindesttiefe arbeiten.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Cambia la velocidad en la que los botones de aumento y disminución funcionan para una profundidad mínima.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	
SubServices.NAME[WaterTool]	Wasserwerkzeug	Water Tool	Herramienta de agua	Water Tool	Water Tool	Water Tool	Water Tool	Water Tool	Ferramenta de Água	Water Tool	Water Tool	Water Tool	
Assets.SUB_SERVICE_DESCRIPTION[WaterTool]	Mit dem Wasserwerkzeug können Sie Wasserquellen von Ihrer Karte hinzufügen und entfernen.	Water tool allows you to add and remove water sources from your map.	Herramienta de agua te permite añadir y quitar fuentes de agua de tu mapa.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	A Ferramenta de Água permite que você adicione e remova as fontes de água do seu mapa.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	
Assets.NAME[WaterSource Stream]	Fluss - Konstante oder Variable Rate der Wasserquelle	Stream - Constant or Variable Rate Water Source	Flujo - Constante o Variable Tasa de fuente de Agua	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Fluxo - Fonte de Água Constante ou Variável	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	
Assets.DESCRIPTION[WaterSource Stream]	Sendet Wasser je nach Einstellung für diesen Mod. Wenn saisonale Wasserflüsse deaktiviert sind, wird die Durchflussrate konstant sein. Wenn es aktiviert ist variiert die Durchflussrate je nach Saison, Niederschlag und Schneeschmelze je nach Einstellung. Linksklick um innerhalb des spielbaren Bereichs zu platzieren. Anvisieren und Rechtsklick zum Entfernen.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emite agua dependiendo de la configuración de este mod. Con los flujos estacionales desactivados, la tasa de flujo será constante. Con flujos estacionales activado, la velocidad de flujo variará según la temporada, precipitación y muelle de nieve dependiendo de sus ajustes. Clic izquierdo para colocarlo dentro del área jugable. Desplácese y haga clic derecho para eliminar.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	
Assets.NAME[WaterSource River]	Fluss - Grenzfluss Wasserquelle	River - Border River Water Source	Fuente de agua del río - Frontera	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	
Assets.DESCRIPTION[WaterSource River]	Hat einen konstanten Pegel und steuert den Wasserfluss in oder aus der Grenze. Wenn Sie sich in der Nähe der Grenze befinden, rastet die Quelle an der Grenze ein. Rechtsklick, um die Zielhöhe festzulegen. Linksklick zum Platzieren. Mit Rechtsklick über der Quelle entfernen.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Tiene un nivel constante y controla el agua que fluye dentro o fuera de la frontera. Clic derecho para designar la elevación objetivo. Clic izquierdo para colocar. Mueve y haz clic derecho para eliminar.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	
Assets.NAME[WaterSource Sea]	Meer - Grenzwasserquelle	Sea - Border Sea Water Source	Mar - Fuente de Agua de Mar Fronterizo	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	
Assets.DESCRIPTION[WaterSource Sea]	Steuert das Wasser, das in die Grenze hinein- oder aus ihr herausfließt, und das niedrigste Meer kontrolliert den Meeresspiegel. Wenn Wellen und Gezeiten deaktiviert sind, bleibt der Pegel konstant. Wenn Wellen und Gezeiten aktiviert sind, steigt und fällt der Meeresspiegel unter den ursprünglichen Meeresspiegel. Rechtsklick, um die Höhe festzulegen. Linksklick, wenn der Radius eine Grenze berührt. Mit Rechtsklick über der Quelle entfernen.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controla el agua que fluye dentro o fuera de la frontera y el mar más bajo controla el nivel del mar. Con ondas y mareas desactivadas, mantendrá el nivel constante. Con olas y mareas permitieron que el nivel del mar suba y cae por debajo del nivel del mar original. Haga clic derecho para designar la elevación. Clic izquierdo para colocar si el radio toca una frontera. Vuelve y haz clic derecho para eliminar.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	
Assets.NAME[WaterSource Lake]	See - Konstante Wasserquelle	Lake - Constant Level Water Source	Lago - Fuente de Agua de Nivel Constante	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	
Assets.DESCRIPTION[WaterSource Lake]	Füllt sich schnell bis es das gewünschte Level erreicht und hält dann das Level aufrecht. Wenn es eine Zielhöhe unterhalb der Bodenhöhe hat, kann es Wasser schneller aufsaugen als Verdampfung. Rechtsklick, um die Zielhöhe zu bestimmen. Linksklick um innerhalb des spielbaren Bereichs zu platzieren. Mit Rechtsklick über der Quelle entfernen.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Rellena rápidamente hasta que llegue al nivel deseado y luego mantiene ese nivel. Si tiene una elevación objetivo por debajo del nivel del suelo, puede drenar el agua más rápido que la evaporación. Clic derecho para designar la elevación objetivo. Clic izquierdo para colocarla dentro del área jugable.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	
Assets.NAME[WaterSource DetentionBasin]	Hochwasserrückhaltebecken	Detention Basin	Cuenca de detención	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Detention Basin	
Assets.DESCRIPTION[WaterSource DetentionBasin]	Benutzerdefiniert modifizierte Wasserquelle, die bei Niederschlag und Schneeschmelze ansteigt und bei trockenem Wetter langsam abfließt. Sie haben eine maximale Höhe der Wasseroberfläche, aber keine minimale Höhe. Rechtsklick, um die maximale Höhe festzulegen. Linksklick, um sie im spielbaren Bereich zu platzieren. Mit Rechtsklick über der Quelle entfernen.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Fuente de agua modificada que se levanta con precisión y nieve y lentamente drena cuando el tiempo está seco. Tienen una elevación máxima de la superficie del agua pero no una elevación mínima de la superficie del agua. Clic derecho para designar la elevación máxima. Clic izquierdo para colocar dentro del área jugable. Pasa el click derecho para remover.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	
Assets.NAME[WaterSource RetentionBasin]	Regenrückhaltebecken	Retention Basin	Cuenca de retención	Retention Basin	Retention Basin	Retention Basin	Retention Basin	Retention Basin	Retention Basin	Retention Basin	Retention Basin	Retention Basin	
Assets.DESCRIPTION[WaterSource RetentionBasin]	Benutzerdefiniert modifizierte Wasserquelle, die bei Niederschlag und Schneeschmelze ansteigt und bei trockenem Wetter langsam abfließt. Sie haben eine maximale Höhe der Wasseroberfläche, und eine minimale Höhe. Rechtsklick, um die maximale Höhe festzulegen. Linksklick, um sie im spielbaren Bereich zu platzieren. Mit Rechtsklick über der Quelle entfernen.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Fuente de agua modificada que se levanta con precisión y nieve y lentamente drena cuando el tiempo está seco. Tienen una elevación máxima de la superficie del agua pero no una elevación mínima de la superficie del agua. Clic derecho para designar la elevación máxima. Clic izquierdo para colocar dentro del área jugable. Pasa el click derecho para remover.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.	
